Country	Population	Density	LandArea	MediumAge	UrbanPopulation	WorldShare
Cyprus	1207359	131	9240	36	67	0.02
Aruba	106766	593	180	36	44	0.0
Iceland	341243	3	100250	37	94	0.0
Kuwait	4270571	240	17820	37	0	0.05
Mauritius	1271768	626	2030	37	41	0.02
Australia	25499884	3	7682300	38	86	0.33
China	1439323776	153	9388211	38	61	18.47
Georgia	3989167	57	69490	38	58	0.05
Ireland	4937786	72	68890	38	63	0.06
Moldova	4033963	123	32850	38	43	0.05
New Zealand	4822233	18	263310	38	87	0.06
United States	331002651	36	9147420	38	83	4.25
Macao	649335	21645	30	39	0	0.01
Montenegro	628066	47	13450	39	68	0.01
North Macedonia	2083374	83	25220	39	59	0.03
Barbados	287375	668	430	40	31	0.0
Belarus	9449323	47	202910	40	79	0.12
Luxembourg	625978	242	2590	40	88	0.01
Norway	5421241	15	365268	40	83	0.07
Russia	145934462	9	16376870	40	74	1.87
Thailand	69799978	137	510890	40	51	0.9
United Kingdom	67886011	281	241930	40	83	0.87
Canada	37742154	4	9093510	41	81	0.48
Slovakia	5459642	114	48088	41	54	0.07
Sweden	10099265	25	410340	41	88	0.13
Ukraine	43733762	75	579320	41	69	0.56
Belgium	11589623	383	30280	42	98	0.15
Cuba	11326616	106	106440	42	78	0.15
Curaçao	164093	370	444	42	89	0.0
Denmark	5792202	137	42430	42	88	0.07
Estonia	1326535	31	42390	42	68	0.02
France	65273511	119	547557	42	82	0.84
Poland	37846611	124	306230	42	60	0.49
Serbia	8737371	100	87460	42	56	0.11
Singapore	5850342	8358	700	42	0	0.08
Taiwan	23816775	673	35410	42	79	0.31
Austria	9006398	109	82409	43	57	0.12
Bosnia and Herzegovina	3280819	64	51000	43	52	0.04
Channel Islands	173863	915	190	43	30	0.0
Czech Republic (Czechia)	10708981	139	77240	43	74	0.14
Finland	5540720	18	303890	43	86	0.07
Hungary	9660351	107	90530	43	72	0.12
Malta	441543	1380	320	43	93	0.01
Netherlands	17134872	508	33720	43	92	0.22
Romania	19237691	84	230170	43	55	0.25
Switzerland	8654622	219	39516	43	74	0.11
U.S. Virgin Islands	104425	298	350	43	96	0.0
Croatia	4105267	73	55960	44	58	0.05
Guadeloupe	400124	237	1690	44	0	0.01
Latvia	1886198	30	62200	44	69	0.02
Puerto Rico	2860853	323	8870	44	0	0.04
South Korea	51269185	527	97230	44	82	0.66
Bulgaria	6948445	64	108560	44	76	0.09
Hong Kong	7496981	7140	1050	44	0	0.1
Lithuania	2722289	43	62674	44	71	0.03
Slovenia	2078938	103	20140	44	55	0.03
Spain	46754778	94	498800	44	80	0.6
Germany	83783942	240	348560	44	76	1.07
Greece	10423054	81	128900	44	85	0.13
Portugal	10196709	111	91590	44	66	0.13
Japan	126476461	347	364555	44	92	1.62
Italy	60461826	206	294140	44	69	0.78
Martinique	375265	354	1060	45	92	0.0
